cid,years,director,category,number,name,awards,awards1,awards2,awards3,awards4,awards5,awards6,,,
C,2010,葉天倫,劇情片,140000000,雞排英雄,關島國際影展-最佳劇情片,,,,,,,,,
C,2010,侯季然,劇情片,0,有一天,新加坡國際影展-最佳攝影獎,,,,,,,,,
C,2010,鍾孟宏,劇情片,0,第四張畫,西班牙瓦拉多利國際影展-最佳攝影獎,法國南特影展-觀眾票選獎,第54屆亞太影展-最佳攝影獎,,,,,,,
H,2010,"張榮貴,陳之任",動畫片,1340000,靠岸,第二屆澳門國際電影節-最佳動畫片獎,,,,,,,,,
C,2010,陳駿霖,劇情片,25000000,一頁台北,法國杜維爾亞洲影展-影展評審團獎,德國柏林影展-NEPAC最佳亞洲電影獎,西班牙巴塞隆納「亞洲電影節」-金杜禮安獎,美國德州電影節-最佳劇情片獎,2010年達拉斯亞洲電影節-最佳劇情長片獎,紐約亞美國際影展-觀眾票選最佳影片,,,,
G,2009,鄭芬芬,愛情片,26000000,聽說,大阪亞洲電影節-最受歡迎電影人氣大獎,,,,,,,,,
C,2009,蔡明亮 王琮,劇情片,4000000,臉,香港亞洲電影節-最佳服裝造型獎,香港亞洲電影節-最佳美術設計獎,,,,,,,,
C,2009,鄭文堂,劇情片,0,眼淚,羅馬第8屆「亞洲電影展」-最佳男主角獎,,,,,,,,,
C,2010,鈕承澤,劇情片,260000000,艋舺,美國夏威夷國際影展-最佳亞洲影片,斯德哥爾摩影展-Telia電影獎,第54屆亞太影展-最佳藝術指導獎、最佳電影音樂獎,香港亞洲電影大獎-最佳新人獎,第11屆華語電影傳媒大獎-最佳導演,,,,,
A,2009,Chih-Yi WEN,短片,0,片刻暖和,第54屆亞太影展-最佳短片獎,,,,,,,,,
C,2010,程孝澤,劇情片,0,近在咫尺,第二屆澳門國際電影節-最佳女主角獎,,,,,,,,,
,,,,H2O,第二屆澳門國際電影節-最佳導演新人獎,,,,,,,,,
C,2010,戴泰龍,劇情片,0,彈簧床先生,第二屆澳門國際電影節-最佳影片獎,,,,,,,,,
C,2008,王金貴,劇情片,0,人之島,2009 羅馬亞洲影展『Asian Film Festival 2009』最佳影片獎,,,,,,,,,
C,2008,程孝澤,劇情片,0,渺渺,羅馬亞洲影展『Asian Film Festival 2009』-原創電影獎,,,,,,,,,
C,2014,戴立忍,劇情片,0,不能沒有你,日本SKIP CITY國際電影節-最佳影片,南非德班影展-最佳影片,法國維祖爾亞洲影展-最佳影片金相機獎,,,,,,,
C,2008,鈕承澤,劇情片,0,情非得已之生存之道,鹿特丹影展「奈派克」最佳亞洲電影獎,,,,,,,,,
C,2008,李康生,劇情片,0,幫幫我愛神,香港國際影展亞洲電影大獎最佳攝影獎,,,,,,,,,
C,2008,陳芯宜,劇情片,0,流浪神狗人,柏林影展青年論壇導演單元德國每日鏡報讀者獎,2008 瑞士弗利堡國際影展青年評審團E-CHANGER獎,,,,,,,,
C,2008,林志儒,劇情片,0,牆之魘,第三十八屆印度國際影展最高獎項-金孔雀獎「亞洲、非洲暨拉丁美洲最佳影片獎」,,,,,,,,,
C,2007,周美玲,劇情片,14260000,刺青,柏林影展 入圍電影大觀(Panorama)單元 獲同志電影「泰迪熊獎」,,,,,,,,,
C,2007,吳米森,劇情片,0,松鼠自殺事件,第40屆休士頓影展 院線劇情片白金牌獎,,,,,,,,,
C,2007,李安,劇情片,260000000,色戒,第64屆義大利威尼斯影展-金獅獎,,,,,,,,,
C,2007,林靖傑,劇情片,0,最遙遠的距離,第64屆威尼斯影展影評人週獎,,,,,,,,,
H,2005,"石昌杰,段奕倫,林博良",動畫片,,微笑的魚,第56屆柏林影展(Berlin International Film Festival)兒童單元特別獎,2006第51屆亞太影展 最佳動畫片,,,,,,,,
,程孝澤,,,數字拼圖,香港第四屆大中華大學生影視獎最佳導演,,,,,,,,,
,張乃云,,,她是我媽媽,韓國首爾女性影展(Women Film Festival in Seoul)紀錄片首獎,,,,,,,,,
C,2005,曹瑞原,劇情片,0,青春蝴蝶孤戀花,印度Osian亞洲電影展 亞洲電影競賽優勝獎,,,,,,,,,
C,2005,鄭文堂,劇情片,0,深海,比利時獨立影展 競賽單元所有類別大獎(Grand Award of all Categories),2006 51屆亞太影展 陸奕靜獲最佳女配角,,,,,,,,
A,2005,林泰州,短片,0,垂死造物哀歌,俄羅斯海參威太平洋子午線電影節金貝殼獎,2006 Borges en Curt國際短片影展特別獎,,,,,,,,
H,2004,馬君輔,動畫片,0,樂生活,金馬國際數位短片競賽 最佳紀錄片獎,,,,,,,,,
C,2005,蔡明亮,劇情片,20240000,天邊一朵雲,第55屆德國柏林影展「最佳藝術貢獻銀熊獎」、「亞佛瑞德飽爾創新獎」、「費比西獎」,2005芝加哥國際影展 「金雨果獎」入圍,法國南特影展「最佳導演獎」、「男演員特殊貢獻獎」,2005西班牙奇幻影展「最佳影片獎」、「最佳男主角獎」,,,,,,
C,2004,徐輔軍,劇情片,0,夢遊夏威夷,法國杜維爾影展「最佳影片金蓮花獎」、「國際影評人獎」,,,,,,,,,
C,2005,侯孝賢,劇情片,0,最好的時光,坎城影展競賽單元「金棕櫚獎」入圍,2005羅馬亞洲影展,2005英國倫敦影展,2005第46屆希臘鐵撒隆尼卡影展導演傑出成就「金亞力山大獎」,日本東京影展導演黑澤明獎,,,,,
