years,director,category,number,name,awards,awards,awards,awards,awards,awards,awards,,,
2003,李康生,劇情片,,不見,2004年第三十三屆荷蘭鹿特丹國際影展金虎獎、影評人獎、亞洲電影發展協會獎,2004年第六屆印度亞洲影展最佳影片、最佳女主角（陸弈靜）,2004年義大利羅馬亞洲影展最佳導演、最佳女主角獎,2004年中國第4屆華語電影傳媒大獎,2003 釜山國際影展 競賽單元 最高榮譽新潮流獎,第60屆威尼斯影展國際影評人費比西獎。,,,,
2002,湯湘竹,紀錄片,,山有多高,2003 第62屆皮巴蒂獎(peabody award),,,,,,,,,
,許慧如,,,雜菜記,2003 山形國際紀錄片影展 獎勵賞,,,,,,,,,
2003,蔡明亮,劇情片,202萬,不散,2003第四十屆金馬獎年度最佳台灣電影獎,2003第六十屆義大利威尼斯國際影展競賽單元費比西獎,2003第三十九屆美國芝加哥國際影展Golden Plaque獎,2003第四十八屆亞太影展評審團獎、最佳女配角獎（楊貴媚）國芝加哥國際影展Golden Plaque獎,2003法國南特三洲影展最佳導演獎（蔡明亮）、青年評審團獎,2005土耳其伊斯坦堡國際影展 「金鬱金香」最佳影片,,,,
2002,張作驥,劇情片,241萬8290,美麗時光,2003年第十六屆新加坡國際影展競賽單元首獎,2002年威尼斯影展競賽,,,,,,,,
2004,吳乙峰,紀錄片,1041萬,生命,2003日本山形國際紀錄片雙年展國際競賽單元優秀賞,2003法國南特影展觀眾票選獎,,,,,,,,
1994,蔡明亮,劇情片,,愛情萬歲,2002巴拉圭影展,第16屆法國南特影展最佳導演／男主角獎,,,,,,,,
2002,王明台,劇情片,,鹹豆漿,2002 南特三洲影展最佳男演員獎,,,,,,,,,
2002,何平,劇情片,7萬2780元,挖洞人,2002第五十二屆德國柏林國際影展「青年導演論壇」觀摩單元唐吉訶德獎,2002第四屆法國杜維爾亞洲影展最佳編劇獎（郭箏、何平）?,2002第四十七屆亞太影展最佳剪輯（顧曉芸）、最佳新進女演員（韋苓）、評審團特別獎,,,,,,,
2001,閻鴻亞,劇情片,,人間喜劇,2002年阿曼馬斯喀開特電影節「金匕首獎」,,,,,,,,,
2002,周晏子,劇情片,,二月十四,2002年休士頓影展「低成本最佳影片」金牌獎,,,,,,,,,
2001,蔡明亮,劇情,263萬6589元,你那邊幾點,2002年馬尼拉國際影展 最佳男主角、最佳影片大獎,2001第三十七屆芝加哥影展　銀雨果－評審團特別獎、最佳導演獎、評審團攝影特別獎,,,,,,,,
2001,林泰州,短片,,狂舞憂鬱,2002年第五十九屆義大利威尼斯影展義大利未來電影學會首部長片獎,,,,,,,,,
2002,洪維健,短片,,綠色玫瑰,2002年義大利另類影展 最佳影片獎,,,,,,,,,
2001,侯孝賢,劇情片,,千禧曼波,2001坎城影展 「技術獎」(杜篤之),2001第三十七屆芝加哥影展 銀雨果獎,2001第二十八屆比利時根特影展 最佳導演獎,,,,,,,
2000,徐立功、尹祺,劇情片,,夜奔,2001第四十六屆亞太影展 最佳音樂獎,,,,,,,,,
2001,林正盛,劇情片,,愛你愛我,2001年第五十一屆德國柏林影展 最佳導演獎、最佳新人獎,,,,,,,,,
2000,楊德昌,劇情片,,一一,2001第十五屆瑞士佛瑞堡影展 評審團大獎,2000坎城國際影展 最佳導演獎,,,,,,,,
2000,章蕙蘭,劇情片,,小百無禁忌,2001第十五屆瑞士佛瑞堡影展 新銳導演獎、最佳編劇,2000年亞太影展 評審團特別獎,,,,,,,,
2001,陳芯宜,劇情片,,我叫阿銘啦,2001第十五屆瑞士佛瑞堡影展 人權獎、教會評審團獎,,,,,,,,,
2000,李安,劇情片,2億,臥虎藏龍,2001第七十三屆奧斯卡影展　最佳外語片、最佳藝術指導、最佳攝影、最佳配樂,,,,,,,,,
2000,蕭雅全,劇情片,,命帶追逐,2001第二十屆溫哥華影展 龍虎榜最佳青年影片獎,,,,,,,,,
2000,張志勇,劇情片,,沙河悲歌,2000 亞太影展 最佳導演、最佳原創音樂獎,,,,,,,,,
1999,張作驥,劇情片,,黑暗之光,2000新加坡影展 最佳影片、評審團特別獎,,,,,,,,,
,,,,,,,,,,,,,,
2008年,,,$5.3億,海角七號,日本第四屆亞洲海洋電影節 首獎,馬來西亞第二屆吉隆坡國際電影節 最佳攝影,美國路易威登夏威夷影展 金蘭花獎 劇情片類首獎,法國2009費索爾亞洲國際影展 當代亞洲電影風貌的競賽片,,,,,,
2011年,,,4.72億 1億9802萬,賽德克.巴萊(上)太陽旗,,,,,,,,,,
2013年,,,4.28億,大尾鱸鰻,,,,,,,,,,
2015年,,,4.1億,我的少女時代,,,,,,,,,,
2011年,,,3.18億 1億3497萬,賽德克.巴萊(下)彩虹橋,,,,,,,,,,
2012年,,,3.17億,陣頭,,,,,,,,,,
2013年,,,3.1億,總舖師,,,,,,,,,,
2014年,,,2.6億,等一個人咖啡,,,,,,,,,,
2015年,,,2.5億,大囍臨門,,,,,,,,,,
2014年,,,2.1億,大稻埕,,,,,,,,,,
2016年,,,1.7億,大尾鱸鰻2,,,,,,,,,,
2012年,,,1.7億,愛,,,,,,,,,,
2012年,,,1.5億,犀利人妻最終回：幸福男·不難,,,,,,,,,,
2016年,,,1.3億,樓下的房客,,,,,,,,,,
2012年,,,1.2億,痞子英雄首部曲:全面開戰,,,,,,,,,,
